id,fund_id,object_id,name,funded_at,raised_amount,raised_currency_code,source_url,source_description,created_at,updated_at
28,28,f:1473,SVB July 2007 Fund,2007-07-06,255000000.0,USD,http://venturebeat.com/2007/07/06/svb-capital-and-battery-raise-latest-vc-funds-battery-on-a-roll/,SVB Capital and Battery raise latest VC funds â Battery on a roll,2009-01-21 03:46:58,2009-01-21 03:46:58
29,29,f:568,DFJ Frontier Fund II,2009-04-18,55000000.0,USD,http://www.marketwire.com/press-release/Dfj-Frontier-979884.html,"Seed-Stage Venture Firm Adds to Team, Opens New Offices; Investment Focus to Remain on West Coast Companies",2009-01-21 03:59:23,2009-04-28 19:12:22
30,30,f:34,Spark Media Fund II,2007-07-18,360000000.0,USD,http://venturebeat.com/2007/07/18/spark-capital-raises-360m-for-second-media-fund/,Spark Capital raises $360M for second media fund,2009-01-21 04:22:34,2009-01-21 04:22:34
31,31,f:484,IVP Fund -- May 2007,2007-05-18,600000000.0,USD,http://venturebeat.com/2007/05/18/ivp-raises-600-million-fund-to-invest-in-late-stage-technology-companies/,IVP raises $600 million fund to invest in late-stage technology companies,2009-01-23 19:22:21,2009-01-23 19:22:21
32,32,f:338,Artiman Ventures Fund II,2007-05-21,185000000.0,USD,http://venturebeat.com/2007/05/21/artiman-ventures-raises-185m-fund/,Artiman Ventures raises $185M fund,2009-01-23 19:26:18,2009-01-23 19:27:02
33,33,f:245,Carmel Ventures III,2008-02-05,235000000.0,USD,http://venturebeat.com/2008/02/05/israeli-vc-firm-carmel-ventures-raises-235m-for-third-fund/,Israeli VC firm Carmel Ventures raises $235M for third fund,2009-01-24 06:57:22,2009-01-24 06:57:22
34,34,f:174,second fund,2007-01-01,200000000.0,USD,http://venturebeat.com/2007/05/22/emergence-finishes-raising-second-fund-at-200m/,"Emergence finishes raising second fund, at $200M",2009-01-25 22:48:40,2013-07-24 02:44:34
36,36,f:191,Venrock V,2007-04-25,600000000.0,USD,http://venturebeat.com/2007/04/25/venrock-raises-600m-fund-for-early-stage-investing-hires-siminoff/,Venture Beat,2009-01-28 09:33:38,2012-11-09 05:44:14
37,37,f:26,Tenth Fund,2010-07-01,350000000.0,USD,http://venturebeat.com/2007/03/22/dfj-raises-4345-million-venture-capital-fund/,Venture Beat,2009-01-29 05:26:54,2013-08-02 23:08:53
38,38,f:111,Fund VIII,2009-01-29,283000000.0,USD,http://www.techcrunch.com/2009/01/29/atlas-closes-a-leaner-but-meaner-283-million-fund/,Atlas Closes A Leaner But Meaner $283 Million Fund,2009-01-30 01:10:55,2009-01-30 01:10:55
39,39,f:521,India Investment,2007-07-17,189000000.0,USD,http://venturebeat.com/2007/07/17/nea-indous-ventures-raises-189m-for-investing-in-india/,NEA IndoUS Ventures raises $189M for investing in India,2009-01-31 21:22:54,2009-01-31 21:22:54
40,40,f:13,Redpoint Omega,2007-03-13,250000000.0,USD,http://venturebeat.com/2007/03/13/redpoint-ventures-raises-250-million-later-stage-fund/,Redpoint Ventures raises $250 million later stage fund,2009-02-02 13:06:49,2009-02-02 13:06:49
41,41,f:1989,January 2009,2009-02-02,865000000.0,USD,http://dealbook.blogs.nytimes.com/2009/02/02/vision-capital-raises-865-million-for-new-fund-report-says/,"Vision Capital Raises $865 Million for New Fund, Report Says",2009-02-02 20:42:09,2009-02-02 20:42:09
42,42,f:1945,"Genesis Campus Fund I, L.P.",2001-02-01,48000000.0,USD,,,2009-02-07 03:03:31,2009-02-09 22:24:35
43,43,f:892,GGV Capital I,2000-01-01,0.0,USD,,,2009-02-18 17:56:00,2012-08-16 01:52:23
44,44,f:892,GGV Capital II,2004-01-01,0.0,USD,,,2009-02-18 17:56:28,2012-08-16 01:52:23
45,45,f:892,GGV Capital III,2006-01-01,0.0,USD,,,2009-02-18 17:56:41,2012-08-16 01:52:23
46,46,f:2153,MILCOM Technologies,,0.0,USD,http://www.milcomvp.com/index.shtml,,2009-03-13 06:40:43,2009-03-13 06:40:43
47,47,f:2153,OnPointTechnologies,,0.0,USD,http://www.milcomvp.com/index.shtml,,2009-03-13 06:41:12,2009-03-13 06:41:12
48,48,f:426,Epic Venture Fund IV,2009-03-09,35750000.0,USD,http://www.socialmedian.com/story/3414090/epic-ventures-raising-fund-iv,Epic Ventures Raising Fund IV,2009-03-17 18:47:50,2010-02-04 21:10:29
49,49,f:18,Fund IV Early Stage Tech,2009-03-02,350000000.0,EUR,http://www.techcrunch.com/2009/03/02/index-closes-a-new-350m-euro-venture-fund/,Index Closes a New 350M. Euro Venture Fund,2009-03-17 20:44:22,2009-03-17 20:45:39
50,50,f:7,Charles River Partnership XIV,2009-03-30,320000000.0,USD,http://www.techcrunch.com/2009/03/30/charles-river-ventures-raises-320-million-for-its-fourteenth-fund/,Charles River Ventures Raises $320 Million For Its Fourteenth Fund,2009-03-31 18:54:48,2009-03-31 18:54:48
51,51,f:7,Charles River Partnership XIII,2007-04-01,285000000.0,USD,http://www.techcrunch.com/2009/03/30/charles-river-ventures-raises-320-million-for-its-fourteenth-fund/,Charles River Ventures Raises $320 Million For Its Fourteenth Fund,2009-03-31 18:54:48,2013-05-30 19:32:39
52,52,f:2196,Fund II,2009-03-30,140000000.0,USD,http://www.pehub.com/35726/new-capital-partners-raises-second-fund/,New Capital Partners Raises Second Fund,2009-03-31 19:20:36,2009-03-31 19:20:36
53,53,f:61,India Fund,2008-12-09,110000000.0,USD,http://www.vccircle.com/500/news/mayfield-raises-110-million-india-fund,Mayfield Raises $110 Million India Fund,2009-04-22 18:04:09,2009-04-22 18:04:09
54,54,f:1142,Target Partners Fund I,2000-01-01,112000000.0,EUR,,,2009-05-02 05:28:47,2012-09-04 05:09:33
55,55,f:1142,Target Partners Fund II,2008-01-01,113000000.0,EUR,,,2009-05-02 05:29:25,2012-09-04 05:09:33
56,56,f:1749,Eighth Fund,2009-04-08,0.0,USD,http://www.pehub.com/36503/domain-associates-raising-fund-viii/,PeHub,2009-05-13 09:23:30,2009-05-13 09:23:30
57,57,f:2472,$550M HealthCare Fund,2007-03-05,550000000.0,USD,http://venturebeat.com/2007/03/05/mpm-capital-raises-550m-healthcare-fund/,MPM Capital raises $550M healthcare fund,2009-05-26 20:19:31,2009-05-26 20:21:42
58,58,f:2535,Silver Lake Sumeru,2007-08-30,726000000.0,USD,http://venturebeat.com/2007/08/30/silver-lake-raises-726m-for-middle-market-fund/,Silver Lake raises $726M for middle-market fund,2009-05-26 21:17:00,2009-05-26 21:17:00
60,60,f:2263,Cleantech Fund,2008-05-23,191500000.0,USD,http://deals.venturebeat.com/2008/05/23/craton-equity-partners-wraps-up-1915m-cleantech-fund/,Craton Equity Partners wraps up $191.5M cleantech fund,2009-06-18 19:01:49,2009-06-18 19:01:49
61,61,f:1866,Cleantech Fund,2008-05-05,75000000.0,USD,http://deals.venturebeat.com/2008/05/05/israel-cleantech-ventures-raises-75m-fund/,Israel Cleantech Ventures raises $75M fund,2009-06-18 21:56:25,2009-06-18 21:56:25
62,62,f:367,Intel Capital India Technology Fund,2005-12-01,250000000.0,USD,http://dealbook.blogs.nytimes.com/2009/01/14/intel-capital-invests-23-million-in-india/,Intel Capital Invests $23 Million in India,2009-06-18 23:32:15,2013-02-20 07:27:35
63,63,f:2604,Debut Medical Device Fund,2008-01-09,143000000.0,USD,http://sev.prnewswire.com/banking-financial-services/20080110/AQW11409012008-1.html,http://sev.prnewswire.com/banking-financial-services/20080110/AQW11409012008-1.html,2009-06-18 23:36:39,2009-06-18 23:36:39
64,64,f:2141,Life Sciences Fund,2007-10-10,450000000.0,USD,http://deals.venturebeat.com/2007/10/10/new-leaf-raises-450m-life-sciences-fund/,New Leaf raises $450M life-sciences fund,2009-06-19 00:39:28,2009-06-19 00:39:28
65,65,f:2867,Flexpoint Ford Fund II,2008-11-03,778437500.0,USD,http://www.sec.gov/Archives/edgar/vprr/08/9999999997-08-044582,SEC,2009-06-19 04:29:12,2013-10-16 12:16:52
66,66,f:2867,FLEXPOINT FORD OVERAGE FUND II,2008-11-03,467062500.0,USD,http://www.sec.gov/Archives/edgar/vprr/08/9999999997-08-044583,SEC,2009-06-19 04:29:12,2013-10-16 12:20:13
67,67,f:512,Titan 1 & 2,2008-05-06,33000000.0,GBP,http://www.octopusinvestments.com,,2009-06-19 16:40:02,2009-06-21 08:28:49
68,68,f:512,Titan 3,2009-05-01,20000000.0,GBP,http://www.octopusinvestments.com,,2009-06-19 16:41:19,2009-06-19 18:23:57
69,69,f:102,Third Fund,2007-04-11,82000000.0,USD,http://deals.venturebeat.com/2007/04/11/catamount-raises-82m-fund-will-dabble-in-clean-tech/,"Catamount raises $82M fund, will dabble in clean tech",2009-06-19 18:59:02,2009-06-19 18:59:02
70,70,f:2820,Third Fund,2008-11-10,2800000000.0,USD,http://www.equityhelpdesk.com/PrivateEquity/Towerbrook_Raises_2_8_Billion_for_Third_Fund/related_links,Towerbrook Raises $2.8 Billion for Third Fund,2009-06-20 03:20:13,2009-06-20 03:20:13
71,71,f:512,Eureka,2009-01-01,15000000.0,GBP,http://www.octopusventures.com,Octopus Ventures,2009-06-21 08:26:42,2009-06-21 08:29:02
72,72,f:286,Matrix IX,2009-07-24,600000000.0,USD,"http://www.earthtimes.org/articles/show/matrix-partners-closes-new-600-million-matrix-ix-fund,903624.shtml",Matrix Partners Closes New $600 Million Matrix IX Fund,2009-07-24 17:31:11,2009-07-24 17:31:11
73,73,f:102,Early-Stage Fund (4th),2009-07-30,80000000.0,USD,http://deals.venturebeat.com/2009/07/30/catamount-finalizes-80m-early-stage-fund/,Catamount finalizes $80M early-stage fund,2009-07-30 18:10:13,2009-07-30 18:10:13
74,74,f:102,First Fund,2002-01-01,15000000.0,USD,http://deals.venturebeat.com/2009/07/30/catamount-finalizes-80m-early-stage-fund/,,2009-07-30 18:10:13,2009-07-30 18:10:13
75,75,f:102,Second Fund,2005-01-01,30000000.0,USD,http://deals.venturebeat.com/2009/07/30/catamount-finalizes-80m-early-stage-fund/,,2009-07-30 18:10:13,2009-07-30 18:10:13
76,76,f:2739,First Fund,2009-08-04,200000000.0,USD,http://www.fiercebiotech.com/story/200m-lilly-spins-out-venture-biz/2009-08-03?utm_medium=rss&utm_source=rss&cmp-id=OTC-RSS-FB0,"With $200M, Lilly spins out venture biz",2009-08-04 18:49:43,2009-08-04 18:49:43
77,77,f:1902,Fund I,2009-09-11,127500000.0,USD,http://www.gsjournal.com/2010/01/steve-westly-bullish-on-green-startups/,Steve Westly Bullish on Green Startups,2009-09-11 17:55:49,2013-04-03 19:12:09
78,78,f:2186,Capital Factory I,2009-02-01,100000.0,USD,,,2009-09-12 00:22:41,2009-09-12 00:31:18
79,79,f:3586,"Biotech, medical-device and drug-development startups",2008-03-03,95000000.0,USD,http://deals.venturebeat.com/2008/03/03/life-sciences-fund-longitude-capital-raises-95m/,Life-sciences fund Longitude Capital raises $95M,2009-09-18 09:00:05,2009-09-18 09:00:05
80,80,f:130,Cleantech Infrastructure Fund,2007-06-22,300000000.0,USD,http://deals.venturebeat.com/2007/06/22/vantagepoint-raising-300m-fund-for-green-project-finance/,VantagePoint raising $300M fund for green project finance,2009-09-20 09:35:16,2009-09-20 09:35:16
81,81,f:2253,Versant Ventures IV,2008-08-01,500000000.0,USD,http://deals.venturebeat.com/2008/08/01/versant-ventures-raises-500m-for-life-sciences-investing/,Versant Ventures raises $500M for life sciences investing,2009-09-21 15:35:48,2013-10-18 16:57:33
82,82,f:1793,energy fund,2007-08-28,75000000.0,USD,http://deals.venturebeat.com/2007/08/28/enertech-capital-has-raised-75m-for-energy-fund-slow-going/,"EnerTech Capital has raised $75M for energy fund, slow going",2009-09-24 12:21:25,2009-09-24 12:21:55
83,83,f:2255,CalPERS,2007-09-10,700000000.0,USD,http://venturebeat.com/2007/09/10/health-evolution-partners-outlines-its-plan-to-revolutionize-healthcare/,Health Evolution Partners unveils its plans to transform healthcare,2009-09-24 12:47:46,2009-09-24 12:47:46
84,84,f:2261,BioAsia Investments,2007-05-09,275000000.0,USD,http://deals.venturebeat.com/2007/05/08/vivo-ventures-aims-for-asia-investment-with-275m-fund/,Vivo Ventures aims for Asia investment with $275M fund,2009-09-24 12:51:58,2009-09-24 12:51:58
85,85,f:3689,NEAS Power fund,2009-10-01,0.0,USD,http://cleantechbrief.com/node/965,London Investment Firm Launches Power Fund,2009-10-07 23:11:09,2009-10-07 23:11:09
86,86,f:3362,Ambienta I,2009-10-09,317000000.0,USD,http://cleantechbrief.com/node/976,Italyâs Ambienta Closes $317M Environmental Fund,2009-10-10 02:02:44,2013-02-08 23:09:32
87,87,f:18,Index Ventures Growth I,2008-01-22,400000000.0,EUR,http://www.indexventures.com/news#news/index/news_id/175,Press Release,2009-10-14 09:49:01,2009-10-14 19:10:13
88,88,f:733,New Atlantic Venture Fund III,2009-04-16,115000000.0,USD,http://www.navfund.com/html/news_2009_0416.html,New Atlantic Ventures Raises Third Fund,2009-10-19 21:13:13,2009-10-19 22:09:43
89,89,f:733,Draper Atlantic Fund I,1999-01-01,72000000.0,USD,http://washington.bizjournals.com/washington/stories/2006/09/18/story4.html,"Draper Atlantic sets sail with new name, $200M fund",2009-10-19 21:20:43,2013-04-03 18:46:36
90,90,f:733,Draper Atlantic Fund II,2000-01-01,70000000.0,USD,http://washington.bizjournals.com/washington/stories/2006/09/18/story4.html,"Draper Atlantic sets sail with new name, $200M fund",2009-10-19 21:21:17,2013-04-03 18:46:36
91,91,f:733,DFJ New England Fund I,2001-01-01,45000000.0,USD,http://www.accessmylibrary.com/coms2/summary_0286-27734344_ITM,"Cambridge Incubator, Draper Fisher Jurvetson Launch $100 Million DFJ New England Fund",2009-10-19 21:29:14,2013-04-03 18:46:36
92,92,f:18,Index Ventures IV,2011-06-14,350000000.0,EUR,http://indexventures.com/news#news/index/news_id/29,Index Ventures .Closes â¬ 350M Fund and Appoints Three New Partners,2009-10-20 19:24:27,2011-06-16 15:26:09
93,93,f:18,Index Ventures III,2005-02-28,300000000.0,EUR,http://indexventures.com/news#news/index/news_id/84,Index Ventures Raises EUR 300m for Latest Fund,2009-10-20 19:27:06,2009-10-20 21:16:44
94,94,f:3522,Clean energy fund,2009-01-01,18000000.0,USD,http://cleantechbrief.com/node/999,The UK Cleantech Sector Receives Â£18 Million Shot in the Arm,2009-10-21 05:06:31,2009-10-21 05:08:17
95,95,f:806,NYC funds seed biotech projects,2009-01-01,5000000.0,USD,http://www.fiercebiotech.com/story/big-apple-fund-seed-biotech-projects-5m-cash/2009-10-20?utm_medium=rss&utm_source=rss&cmp-id=OTC-RSS-FB0,NYC funds seed biotech projects with $5M in cash,2009-10-21 05:12:04,2012-09-07 07:53:43
96,96,f:2041,University Opportunity Fund,2003-01-01,18200000.0,USD,http://www.uventurefund.com/node/103,,2009-10-22 17:48:31,2012-09-18 13:49:02
97,97,f:4,Accel Fund,2008-12-01,10000000000.0,USD,http://stephenlaughlin.posterous.com/index-ventures-raises-440-mill,Index Ventures Raises $440 Million for Tech Fund,2009-10-22 22:43:59,2012-06-27 21:30:37
98,98,f:2077,IPO,2009-10-01,2300000.0,USD,http://cleantechbrief.com/node/1019,Vancouverâs Greenscape Completes IPO,2009-10-28 14:04:33,2009-10-28 14:04:33
99,99,f:1,Greylock Fund XIV,2013-09-10,1000000000.0,USD,http://www.reuters.com/article/2013/09/10/us-venture-newfund-greylock-idUSBRE98910920130910,Greylock Partners raises $1 billion for new venture fund,2009-11-02 19:31:56,2013-09-10 19:05:00
100,100,f:260,TA XI,2009-08-12,4000000000.0,USD,http://www.preqin.com/item/ta-associates-closes-4b-fund/101/1513,TA Associates Closes $4B Fund,2009-11-02 22:16:07,2009-11-02 22:16:07
101,101,f:3765,"Emerald Stage2 Ventures, LP",2008-03-05,15000000.0,USD,http://philadelphia.bizjournals.com/philadelphia/stories/2008/07/07/story7.html,Emerald Stage2 Ventures making its mark,2009-11-03 00:05:11,2009-11-03 01:53:16
102,102,f:3692,PVEF,2005-01-01,50000000.0,USD,,,2009-11-04 09:40:55,2009-11-05 02:52:23
104,104,f:62,Ignition Growth Capital Fund,2007-10-01,275000000.0,USD,http://blog.seattlepi.com/venture/archives/122831.asp,TechFlash,2009-11-05 23:36:04,2009-11-05 23:36:04
105,105,f:62,Ignition Ventures IV,2007-10-01,400000000.0,USD,http://www.ignitionpartners.com/press/ignition_partne_1.php,Ignition Partners,2009-11-05 23:36:47,2009-11-05 23:36:47
106,106,f:89,"Madrona Venture Fund IV, L.P.",2008-06-11,250000000.0,USD,http://www.seattlepi.com/business/366573_madrona11.html,Seattle P-I,2009-11-05 23:57:28,2013-04-10 18:24:47
107,107,f:97,Maveron IV,2008-04-01,240000000.0,USD,http://blog.seattlepi.com/venture/archives/135535.asp,Seattle P-I,2009-11-05 23:59:32,2013-02-15 19:17:41
108,108,f:1676,I-China,2008-07-09,300000000.0,USD,,,2009-11-06 00:01:28,2009-11-06 00:01:28
109,109,f:3809,Founder Collective I,2009-11-09,40000000.0,USD,http://www.masshightech.com/stories/2009/11/09/daily7-Founder-Collective-closes-40M-seed-stage-tech-fund.html,Mass High Tech,2009-11-09 20:58:15,2013-10-11 17:53:00
110,110,f:3810,Seed Fund,2011-04-07,40000000.0,USD,http://cleantechbrief.com/node/1110,Ireland Launches $40 Million Seed Fund,2009-11-09 21:51:35,2011-04-11 19:45:13
111,111,f:3824,Solamere Founders Fund I,2009-06-02,186000000.0,USD,http://www.masshightech.com/stories/2009/06/01/daily12-Romney-rooted-Solamere-Capital-nears-200M-fund.html,Mass High Tech,2009-11-10 23:46:45,2009-11-10 23:46:45
112,112,f:123,Highland Capital Partners VIII Limited Partnership,2009-11-12,400000000.0,USD,http://www.hcp.com/news/newsdetails.php/id/79851,Highland Capital Partners,2009-11-12 22:42:49,2009-11-12 22:42:49
113,113,f:3839,TBD,2009-11-12,100000000.0,USD,http://www.altassets.com/private-equity-news/article/nz17273.html,AltaAssets,2009-11-13 06:02:20,2009-11-13 06:02:20
114,114,f:2793,Venture Fund I,,90000000.0,USD,http://www.vcgate.com/2009/09/28/vc-firm-i2bf-venture-capital-leads-9-million-in-a-bridge-funding-round-for-south-korean-based-nesscap-inc/,"VC Firm, I2BF Venture Capital Leads $9 Million in a Bridge Funding Round for South Korean Based Nesscap, Inc.",2009-11-18 12:37:37,2009-11-18 18:26:29
115,115,f:86,Norwest Venture Partners XI,2009-11-18,1200000000.0,USD,http://www.altassets.com/private-equity-news/article/nz17325.html,AltaAssets,2009-11-18 23:10:21,2009-11-18 23:10:30
116,116,f:3869,Cleantech Fund,2009-11-16,4250000.0,USD,http://cleantechbrief.com/node/1085,Meidlinger Partners Launches New Cleantech Fund,2009-11-19 03:07:00,2009-11-19 03:07:00
117,117,f:3506,Innogest Capital,2006-05-01,80000000.0,EUR,http://www.innogest.it/page/9.html,,2009-11-23 12:39:34,2009-11-25 04:31:11
118,118,f:3159,NEVEQ LP,,0.0,USD,,,2009-11-26 17:57:59,2009-11-27 04:23:01
119,119,f:79,Winch Capital 2,2009-11-25,376575000.0,USD,http://www.altassets.com/private-equity-news/article/nz17396.html,AltaAssets,2009-11-30 05:18:10,2009-11-30 05:18:10
120,120,f:3954,Debut Venture fund,2009-12-02,151000000.0,USD,https://www.fis.dowjones.com/article.aspx?ProductIDFromApplication=32&aid=DJFVW00020091201e5c2000dx&r=Rss&s=DJFVW,Spring Capital Asia Holds $151M First Close On Debut Fund-Raise,2009-12-03 02:41:38,2009-12-03 02:41:38
121,121,f:116,MDV VIII,2005-01-31,384500000.0,USD,http://www.sec.gov/Archives/edgar/vprr/05/9999999997-05-003432,SEC,2009-12-03 23:00:22,2009-12-03 23:00:22
122,122,f:116,MDV VIII,2009-05-22,25537791.0,USD,http://www.sec.gov/Archives/edgar/data/1315917/000131591709000003/xslFormDX01/primary_doc.xml,SEC,2009-12-03 23:00:22,2009-12-03 23:00:22
123,123,f:116,MDV VIII,2010-12-03,2374908.0,USD,http://www.sec.gov/Archives/edgar/data/1315917/000131591709000004/xslFormDX01/primary_doc.xml,SEC,2009-12-03 23:00:22,2009-12-03 23:00:22
124,124,f:116,MDV VII,2009-08-07,27063875.0,USD,http://www.sec.gov/Archives/edgar/data/1129541/000112954109000003/xslFormDX01/primary_doc.xml,SEC,2009-12-03 23:03:15,2009-12-03 23:03:15
125,125,f:116,MDV VII,2009-12-03,256336.0,USD,http://www.sec.gov/Archives/edgar/data/1129541/000112954109000004/xslFormDX01/primary_doc.xml,SEC,2009-12-03 23:03:15,2009-12-03 23:03:15
126,126,f:116,MDV IX,2007-08-24,580000000.0,USD,http://www.sec.gov/Archives/edgar/vprr/07/9999999997-07-040374,SEC,2009-12-04 00:02:16,2009-12-04 00:02:16
127,127,f:116,MDV IX,2009-05-22,45328890.0,USD,http://www.sec.gov/Archives/edgar/data/1410787/000141078709000004/xslFormDX01/primary_doc.xml,SEC,2009-12-04 00:02:16,2009-12-04 00:02:16
128,128,f:116,MDV IX,2009-12-03,26760466.0,USD,http://www.sec.gov/Archives/edgar/data/1410787/000141078709000005/xslFormDX01/primary_doc.xml,SEC,2009-12-04 00:02:16,2009-12-04 00:02:16
129,129,f:1407,Conor Technology Fund I Ky,2006-01-01,30000000.0,USD,http://www.conor.vc/news.html,New Technology Investor and Seed-Stage Venture Capital Fund Established in Finland,2009-12-04 13:41:12,2012-06-25 14:37:30
130,130,f:2140,5AM Ventures III,2009-12-11,197835000.0,USD,http://www.sec.gov/Archives/edgar/data/1456890/000145689009000004/xslFormDX01/primary_doc.xml,SEC,2009-12-07 19:25:59,2009-12-11 23:07:39
131,131,f:2140,5AM Ventures II,2006-01-01,150000000.0,USD,http://www.altassets.com/private-equity-news/article/nz17486.html,AltAssets,2009-12-07 19:25:59,2013-10-18 04:34:09
